ajenar	ajeno
presumir	presumo
testimoniar	testimonio
desuerar	desuero
lagartear	lagarteo
subemplear	subempleo
entablar	entablo
sojuzgar	sojuzgo
desbotonar	desbotono
descuajar	descuajo
completar	completo
computar	computo
podar	podo
alegrar	alegro
fertilizar	fertilizo
elaborar	elaboro
sobrecumplir	sobrecumplo
frecuentar	frecuento
remontar	remonto
redimensionar	redimensiono
cocinar	cocino
desliar	deslío
desposar	desposo
empedrar	empiedro
conmemorar	conmemoro
infatuar	infatúo
considerar	considero
dolar	duelo
sobrevirar	sobreviro
espumar	espumo
chismar	chismo
desimantar	desimanto
presentir	presiento
chambear	chambeo
dilapidar	dilapido
aburujar	aburujo
derrochar	derrocho
acriminar	acrimino
achabacanar	achabacano
expoliar	expolio
ahuyentar	ahuyento
zurear	zureo
ceñir	ciño
repoblar	repueblo
preseleccionar	preselecciono
coadyuvar	coadyuvo
roer	roo
rebozar	rebozo
cumplir	cumplo
sombrear	sombreo
moscar	mosco
descartar	descarto
emerger	emerjo
ultimar	ultimo
enladrillar	enladrillo
subvalorar	subvaloro
esquilar	esquilo
recriar	recrío
visualizar	visualizo
descampar	descampo
achicharrar	achicharro
solidificar	solidifico
parodiar	parodio
recrear	recreo
desnaturalizar	desnaturalizo
motejar	motejo
invisibilizar	invisibilizo
televisar	televiso
sobreemplear	sobreempleo
traducir	traduzco
aburguesar	aburgueso
endemoniar	endemonio
argüir	arguyo
monear	moneo
resultar	resulto
linchar	lincho
embotellar	embotello
premeditar	premedito
nacionalizar	nacionalizo
descontratar	descontrato
conferenciar	conferencio
ojear	ojeo
ornar	orno
nalguear	nalgueo
estibar	estibo
fritar	frito
retardar	retardo
gestar	gesto
encular	enculo
desagraviar	desagravio
reverter	revierto
perpetrar	perpetro
afirmar	afirmo
ramonear	ramoneo
estancar	estanco
mediar	medio
desolidarizar	desolidarizo
verticalizar	verticalizo
reproducir	reproduzco
detallar	detallo
dictar	dicto
emperejilar	emperejilo
valuar	valúo
filmar	filmo
congeniar	congenio
equipar	equipo
departir	departo
reflejar	reflejo
vertebrar	vertebro
desenlazar	desenlazo
horripilar	horripilo
